Datatype,Frequency
http://dbpedia.org/ontology/albanianLek,2
http://www.w3.org/2001/XMLSchema#POBilling,4
http://www.w3.org/2001/XMLSchema#token,3
http://dbpedia.org/datatype/megapascal,1498
http://dbpedia.org/datatype/s%c3%a3oTom%c3%a9AndPr%c3%adncipeDobra,92
http://www.w3.org/2001/10/XMLSchema#decimal,16
http://dbpedia.org/datatype/sriLankanRupee,214
http://dbpedia.org/datatype/syrianPound,16
http://dbpedia.org/ontology/ounce,2
http://www.radarnetworks.com/type#currency,198
http://rdf.muninn-project.org/ontologies/xsd#string,1
http://dbpedia.org/datatype/centimetre,1738136
http://dbpedia.org/ontology/squareFoot,120
http://dbpedia.org/ontology/indianRupee,3
http://www.youpage.co.uk/&xsd;boolean,42
http://dbpedia.org/ontology/bar,3
http://dbpedia.org/datatype/usDollar,1196194
http://statistics.data.gov.uk/def/administrative-geography/StandardCode,66364
http://www.dl.saga-u.ac.jp/OgiNabesima/ichiba/tenseki#terminology_of_bookbinding,1553
http://www.w3.org/TR/xmlschema-2#name,2
http://dbpedia.org/datatype/mongolianT%c3%b6gr%c3%b6g,10
http://estatwrap.ontologycentral.com/dic/note#pu,3
http://estatwrap.ontologycentral.com/dic/note#cp,1743
http://www.w3.org/2001/XMLSchema#long,21218549
http://dbpedia.org/datatype/cubicMetrePerSecond,45526
http://estatwrap.ontologycentral.com/dic/note#ps,6387
http://estatwrap.ontologycentral.com/dic/note#pr,4
http://dbpedia.org/datatype/indianRupee,1782
http://estatwrap.ontologycentral.com/dic/note#cr,130
http://dbpedia.org/datatype/tonganPaanga,586
http://dbpedia.org/datatype/icelandKrona,438
http://www.w3.org/2001/XMLSchema#year,176
http://dbpedia.org/datatype/millipond,298
http://example.org/datatype2,6
http://dbpedia.org/datatype/milePerHour,15809
http://dbpedia.org/ontology/poundSterling,102
http://dbpedia.org/datatype/belizeDollar,35
http://dbpedia.org/datatype/iranianRial,82
http://dbpedia.org/datatype/bhutaneseNgultrum,65
http://dbpedia.org/datatype/megabit,54
http://www.w3.org/2002/03owlt/I5.8/premises017#bar,5
http://dbpedia.org/datatype/omaniRial,23
http://www.w3.org/2001/XMLSchema#anyType,2
http://dbpedia.org/ontology/netherlandsAntilleanGuilder,1
http://www.w3.org/1999/02/22-rdf-syntax-ns#integer,8
http://www.w3.org/ns/auth/cert#hex,22
http://dbpedia.org/datatype/kuwaitiDinar,85
http://dbpedia.org/datatype/malaysianRinggit,575
http://id.southampton.ac.uk/ns/10CharHRCode,1202
http://dbpedia.org/datatype/decilitre,12
http://dbpedia.org/ontology/foot,4218
http://purl.org/NET/cpan-uri/terms#ds,497
http://dbpedia.org/datatype/lithuanianLitas,227
urn:iso:std:iso:8601#timeInterval,15
http://dbpedia.org/datatype/stone,58677
http://dbpedia.org/datatype/sudanesePound,34
http://danbri.org/integer,1
http://dbpedia.org/datatype/kyrgyzstaniSom,32
http://www.w3.org/TR/xmlschema-2/#date,1118
http://dbpedia.org/ontology/degreeRankine,63
http://estatwrap.ontologycentral.com/dic/note#ei,732
http://www.w3.org/2001/XMLSchema#float,213584593
http://dbpedia.org/datatype/gramForce,26
http://estatwrap.ontologycentral.com/dic/note#er,26
http://www.w3.org/2001/XMLSchemadateTime,1
http://estatwrap.ontologycentral.com/dic/note#ep,274
http://dbpedia.org/datatype/newton,6965
http://dbpedia.org/datatype/gigametre,124981
http://estatwrap.ontologycentral.com/dic/note#cip,2
http://dbpedia.org/ontology/milligram,5
xsd:anyURI,986
http://dbpedia.org/ontology/hectare,72
http://ndl.go.jp/ndltype/,294
http://dbpedia.org/datatype/nicaraguanC????rdoba,3
http://dbpedia.org/datatype/tonneForce,52
http://dbpedia.org/datatype/millipascal,82
http://dbpedia.org/ontology/cubicHectometre,1
http://dbpedia.org/datatype/australianDollar,1149
http://dbpedia.org/datatype/kilogramPerLitre,220
http://dbpedia.org/ontology/Pound,14
http://dbpedia.org/datatype/nautialMile,5104
http://dbpedia.org/datatype/belarussianRuble,61
http://dbpedia.org/ontology/degreeCelsius,30
http://dewey.info/schema-terms/Notation,396
http://dbpedia.org/ontology/kilobyte,2
http://dbpedia.org/ontology/gigalitre,1
http://dbpedia.org/datatype/russianRouble,849
http://dbpedia.org/ontology/gallon,1
http://dbpedia.org/ontology/Dollar,200
http://www.w3.org/2001/XMLSchema-datatypes#date,65
http://example.org/datatype1,6
http://estatwrap.ontologycentral.com/dic/note#ss,12
http://dbpedia.org/ontology/swissFranc,5
http://dbpedia.org/ontology/byte,41
http://www.w3.org/TR/xmlschema-2/#gYear,82039
http://opendap.org/ontologies/opendap.owl#String,4
http://dbpedia.org/datatype/guatemalanQuetzal,8
xsd:Date,2
http://dbpedia.org/datatype/joule,4070
http://dbpedia.org/datatype/hectare,34156
http://iridl.ldeo.columbia.edu/ontologies/opendap.owl#String,4
http://dbpedia.org/datatype/chileanPeso,786
http://dbpedia.org/datatype/kilogramPerCubicMetre,7556
http://estatwrap.ontologycentral.com/dic/note#zb,2
http://dbpedia.org/datatype/gigawatt,523
http://www.wsmo.org/ns/hrests#URITemplate,170
xsd:boolean,547
http://www.w3.org/2000/10/XMLSchema#NonNegativeInteger,6
http://dbpedia.org/ontology/nautialMile,13
http://dbpedia.org/ontology/kilowatt,131
http://estatwrap.ontologycentral.com/dic/note#zp,2
http://dbpedia.org/datatype/squareDecimetre,2
http://dbpedia.org/ontology/nanometre,15
http://www.w3.org/2000/01/rdf-schema#XMLLiteral,2
http://www.w3.org/2001/XMLSchema#string,6205754116
http://dbpedia.org/units/Yen,12
http://purl.org/atom/ns#escaped,1
http://dbpedia.org/ontology/watt,21
http://dbpedia.org/datatype/malawianKwacha,28
http://dbpedia.org/datatype/giganewton,600
http://dbpedia.org/datatype/rod,61780
http://id.southampton.ac.uk/ns/site-code-scheme,161
http://dbpedia.org/datatype/gibraltarPound,33
http://www.w3.org/2001/XMLSchema#lang,932
http://dbpedia.org/datatype/microsecond,8
http://dbpedia.org/datatype/saintHelenaPound,276
http://dbpedia.org/datatype/nepaleseRupee,97
http://dbpedia.org/datatype/metrePerSecond,41813
http://svn.redfoot.net/trunk/redfoot#Python,6
http://www.opengis.net/rdf#WKTLiteral,1
http://www.w3.org/2001/XMLSchema#hexBinary,460
http://dbpedia.org/ontology/cubicKilometre,20
http://www.youpage.co.uk/&xsd;string,85
http://www.w3.org/2002/12/cal/tzd/Europe/Zurich#tz,60
http://www.loc.gov/standards/datetime#edt,282
http://dbpedia.org/datatype/tajikistaniSomoni,4
http://dbpedia.org/datatype/croatianKuna,782
http://dbpedia.org/datatype/chain,68
http://www.w3.org/2001/XMLSchema#byte,296
http://www.w3.org/2001/XMLSchema-datatypes#dateTime,14
http://dbpedia.org/datatype/imperialGallon,122
